,Années,American Decorative Arts: Entrees,American Decorative Arts: %,American Paintings and Sculpture: Entrees,American Paintings and Sculpture: %,European Sculpture and Decorative Arts: Entrees,European Sculpture and Decorative Arts: %,Modern and Contemporary Art: Entrees,Modern and Contemporary Art: %,Arms and Armor: Entrees,Arms and Armor: %,Medieval Art: Entrees,Medieval Art: %,Asian Art: Entrees,Asian Art: %,Costume Institute: Entrees,Costume Institute: %,Islamic Art: Entrees,Islamic Art: %,"Arts of Africa, Oceania, and the Americas: Entrees","Arts of Africa, Oceania, and the Americas: %",Drawings and Prints: Entrees,Drawings and Prints: %,Greek and Roman Art: Entrees,Greek and Roman Art: %,Photographs: Entrees,Photographs: %,Ancient Near Eastern Art: Entrees,Ancient Near Eastern Art: %,European Paintings: Entrees,European Paintings: %,Robert Lehman Collection: Entrees,Robert Lehman Collection: %,The Cloisters: Entrees,The Cloisters: %,Musical Instruments: Entrees,Musical Instruments: %,Egyptian Art: Entrees,Egyptian Art: %,The Libraries: Entrees,The Libraries: %
0,1870,18.0,0.0014517299782240503,1.0,0.00018268176835951772,92.0,0.0021625179230425687,7.0,0.0004916420845624386,1.0,7.382798080472499e-05,1.0,0.00013802622498274673,77.0,0.0020897223654571606,22.0,0.000700659256664225,8.0,0.000510986203372509,1.0,7.96876245119133e-05,96.0,0.0006604519968353342,1.0,5.816658911121452e-05,0.0,0.0,0.0,0.0,4.0,0.0014566642388929353,0.0,0.0,30.0,0.012340600575894693,0.0,0.0,5.0,0.0001838505662597441,68.0,0.40963855421686746
10,1880,28.0,0.002258246632792967,87.0,0.015893313847278042,412.0,0.009684319394494982,85.0,0.005969939598258182,1.0,7.382798080472499e-05,8.0,0.0011042097998619738,821.0,0.022281325481043234,23.0,0.0007325074046944171,103.0,0.006578947368421052,29.0,0.0023109411108454855,794.0,0.005462488390492243,5279.0,0.30706142391810143,0.0,0.0,171.0,0.02781392322706571,102.0,0.037144938091769844,0.0,0.0,30.0,0.012340600575894693,0.0,0.0,9.0,0.00033093101926753935,68.0,0.40963855421686746
20,1890,400.0,0.03226066618275667,167.0,0.03050785531603946,1904.0,0.04475471875514186,85.0,0.005969939598258182,17.0,0.0012550756736803249,182.0,0.025120772946859903,1163.0,0.03156294949385296,48.0,0.001528711105449218,1422.0,0.09082779764946347,85.0,0.0067734480835126305,1267.0,0.008716590416566337,5987.0,0.34824336900884134,2.0,5.2939463723232484e-05,700.0,0.11385816525699415,234.0,0.0852148579752367,0.0,0.0,37.0,0.015220074043603456,3294.0,0.6220963172804532,559.0,0.02055449330783939,69.0,0.41566265060240964
30,1900,509.0,0.041051697717557865,366.0,0.06686152721958348,3165.0,0.07439531767858402,88.0,0.0061806433487849415,291.0,0.02148394241417497,283.0,0.03906142167011732,4654.0,0.12630607647841072,56.0,0.0017834962896907545,1927.0,0.12308380173735309,345.0,0.02749223045661009,1498.0,0.01030580303395136,7666.0,0.4459050721265705,8.0,0.00021175785489292994,906.0,0.14736499674690956,312.0,0.11361981063364894,0.0,0.0,39.0,0.016042780748663103,3296.0,0.6224740321057601,948.0,0.03485806736284748,72.0,0.43373493975903615
40,1910,1275.0,0.1028308734575369,789.0,0.14413591523565947,12594.0,0.29602989916084904,768.0,0.0539401601348504,940.0,0.06939830195644149,891.0,0.12298136645962733,7265.0,0.19716666214345807,342.0,0.01089206662632568,3488.0,0.2227899846704139,451.0,0.0359391186548729,1797.0,0.012362835815761412,9167.0,0.5332131223825035,14.0,0.00037057624606262737,937.0,0.15240728692257643,424.0,0.15440640932265112,0.0,0.0,51.0,0.02097902097902098,3327.0,0.628328611898017,6094.0,0.22407707015737607,73.0,0.4397590361445783
50,1920,2235.0,0.1802564722961529,1068.0,0.19510412860796492,17123.0,0.402486895611499,840.0,0.058997050147492625,3528.0,0.26046511627906976,3575.0,0.49344375431331955,12987.0,0.35245745922327465,443.0,0.014108729577375075,4947.0,0.3159810935104752,498.0,0.039684437006932825,10355.0,0.07123937945031131,11831.0,0.688168915774779,39.0,0.0010323195426030333,989.0,0.16086532205595316,675.0,0.24581209031318282,0.0,0.0,66.0,0.027149321266968326,3355.0,0.6336166194523135,14968.0,0.5503750551551698,98.0,0.5903614457831325
60,1930,2811.0,0.22671183159932254,1455.0,0.26580197296309827,20217.0,0.47521331358860447,1255.0,0.08814440230369434,6027.0,0.4449612403100775,5389.0,0.7438233264320221,18382.0,0.4988737210627731,748.0,0.023822414726583648,6102.0,0.3897547266223812,631.0,0.05028289106701729,27132.0,0.18666024560558633,14038.0,0.8165425779432294,109.0,0.0028852007729161704,1091.0,0.17745608327911516,936.0,0.3408594319009468,0.0,0.0,794.0,0.32661456190867955,3369.0,0.6362606232294618,23138.0,0.8507868804235917,103.0,0.6204819277108434
70,1940,4213.0,0.3397854665698847,1753.0,0.3202411399342346,26230.0,0.616552664363115,1514.0,0.10633515943250456,10478.0,0.7735695828719085,5794.0,0.7997239475500345,20237.0,0.549217032594241,2259.0,0.07194496640020383,8743.0,0.5584440470107307,887.0,0.0706829229420671,35454.0,0.24391317808124935,14300.0,0.8317822242903676,1587.0,0.042007464464384976,2278.0,0.3705270006506181,1151.0,0.4191551347414421,0.0,0.0,1003.0,0.4125874125874126,3375.0,0.6373937677053825,25057.0,0.9213487277540815,104.0,0.6265060240963856
80,1950,6297.0,0.5078635373820469,2662.0,0.4862988673730362,29516.0,0.6937921632230919,2410.0,0.1692653462564967,12603.0,0.930454042081949,6189.0,0.8542443064182195,22209.0,0.6027356365511439,5365.0,0.1708653141819803,11576.0,0.7393970362800204,971.0,0.07737668340106782,52582.0,0.36174882184995355,15333.0,0.8918683108422523,2679.0,0.07091241165726991,2656.0,0.43201040988939493,1425.0,0.5189366351056082,0.0,0.0,1181.0,0.4858083093377211,3509.0,0.6627006610009443,25537.0,0.938998382115017,105.0,0.6325301204819277
90,1960,7204.0,0.5810145979514477,3150.0,0.5754475703324808,32300.0,0.7592318360247279,2883.0,0.20248630425621575,12742.0,0.9407161314138058,6314.0,0.8714975845410629,23780.0,0.6453714006567699,7295.0,0.23233223988025095,12270.0,0.7837250894225856,1153.0,0.09187983106223603,77906.0,0.5359705548484744,15752.0,0.9162401116798511,3624.0,0.09592630826649726,3552.0,0.5777488614183475,1632.0,0.5943190094683175,0.0,0.0,1626.0,0.6688605512134924,3557.0,0.6717658168083097,25933.0,0.9535593469627887,107.0,0.6445783132530121
100,1970,9055.0,0.7303008307121542,3611.0,0.6596638655462185,35769.0,0.8407728651011918,3568.0,0.2505969939598258,12778.0,0.943373938722776,6460.0,0.8916494133885439,24799.0,0.6730262979347029,8505.0,0.27086849899678334,12903.0,0.8241568727644354,3950.0,0.3147661168220575,121149.0,0.8334697808812906,15968.0,0.9288040949278734,7208.0,0.19079382725852986,4478.0,0.7283669486011711,1814.0,0.6605972323379461,0.0,0.0,1767.0,0.7268613739201975,3583.0,0.6766761095372993,26329.0,0.9681203118105604,110.0,0.6626506024096386
110,1980,10029.0,0.8088555528671667,3938.0,0.7194008037997808,37721.0,0.8866558540770515,5596.0,0.39303272931591515,12857.0,0.9492063492063492,6570.0,0.906832298136646,26573.0,0.721171330094716,13938.0,0.4438994872448167,13844.0,0.8842616249361267,7026.0,0.5598852498207029,127055.0,0.8741013381032644,16358.0,0.951489064681247,10335.0,0.27356467878980384,4922.0,0.8005855562784645,1959.0,0.713401310997815,2585.0,0.9996133023975251,1980.0,0.8144796380090498,3875.0,0.7318224740321058,26438.0,0.9721282541550228,115.0,0.6927710843373494
120,1990,10785.0,0.8698282119525769,4308.0,0.7869930580928023,39187.0,0.9211151070681428,9054.0,0.6359039190897599,12950.0,0.9560723514211886,6688.0,0.9231193926846101,29397.0,0.7978125763291448,16784.0,0.5345393165387433,14192.0,0.9064895247828308,9145.0,0.7287433261614471,132460.0,0.9112861614667538,16610.0,0.9661470451372731,14246.0,0.37708780010058496,5745.0,0.9344502277163305,2091.0,0.7614712308812819,2585.0,0.9996133023975251,2177.0,0.895516248457425,4433.0,0.837204910292729,26558.0,0.9765406677452566,115.0,0.6927710843373494
130,2000,11240.0,0.9065247197354626,4897.0,0.8945926196565582,40073.0,0.9419410948922267,11327.0,0.7955471274055345,13062.0,0.9643410852713178,6822.0,0.9416149068322981,32085.0,0.8707628843596493,19546.0,0.6225039013981337,14344.0,0.9161982626469085,11203.0,0.8927404574069647,134991.0,0.9286987031749854,16990.0,0.9882503489995347,26525.0,0.7021096376293708,6133.0,0.9975601821730644,2190.0,0.797523670793882,2585.0,0.9996133023975251,2262.0,0.93048128342246,4731.0,0.8934844192634561,26721.0,0.9825341962053243,117.0,0.7048192771084337
140,2010,11742.0,0.9470118557948222,5364.0,0.979905005480453,41683.0,0.9797851585454717,12761.0,0.8962635201573255,13339.0,0.9847914359542267,7032.0,0.9706004140786749,34339.0,0.9319347572393953,30023.0,0.9561769483104557,14779.0,0.9439831374552887,11572.0,0.9221451908518608,138665.0,0.9539747514705377,17076.0,0.9932526756630992,34021.0,0.9005267476640462,6145.0,0.9995120364346128,2482.0,0.9038601602330663,2586.0,1.0,2313.0,0.9514603044014809,5067.0,0.9569405099150141,26786.0,0.984924253566701,164.0,0.9879518072289156
147,2017,12399.0,1.0,5474.0,1.0,42543.0,1.0,14238.0,1.0,13545.0,1.0,7245.0,1.0,36847.0,1.0,31399.0,1.0,15656.0,1.0,12549.0,1.0,145355.0,1.0,17192.0,1.0,37779.0,1.0,6148.0,1.0,2746.0,1.0,2586.0,1.0,2431.0,1.0,5295.0,1.0,27196.0,1.0,166.0,1.0
