Annees,Line1entrees,Line1percent,Line2entrees,Line2percent,Line3entrees,Line3percent,Line4entrees,Line4percent,Line5entrees,Line5percent,Line6entrees,Line6percent,Line7entrees,Line7percent,Line8entrees,Line8percent
1870,5.0,0.0001838505662597441,1.0,5.816658911121452e-05,1.0,7.382798080472499e-05,1.0,0.00013802622498274673,0.0,0.0,22.0,0.000700659256664225,7.0,0.0004916420845624386,1.0,7.96876245119133e-05
1871,5.0,0.0001838505662597441,1.0,5.816658911121452e-05,1.0,7.382798080472499e-05,1.0,0.00013802622498274673,0.0,0.0,22.0,0.000700659256664225,7.0,0.0004916420845624386,1.0,7.96876245119133e-05
1872,5.0,0.0001838505662597441,1.0,5.816658911121452e-05,1.0,7.382798080472499e-05,1.0,0.00013802622498274673,0.0,0.0,22.0,0.000700659256664225,7.0,0.0004916420845624386,1.0,7.96876245119133e-05
1873,5.0,0.0001838505662597441,1.0,5.816658911121452e-05,1.0,7.382798080472499e-05,5.0,0.0006901311249137336,0.0,0.0,22.0,0.000700659256664225,7.0,0.0004916420845624386,1.0,7.96876245119133e-05
1874,9.0,0.00033093101926753935,5219.0,0.30357142857142855,1.0,7.382798080472499e-05,6.0,0.0008281573498964803,0.0,0.0,22.0,0.000700659256664225,7.0,0.0004916420845624386,1.0,7.96876245119133e-05
1875,9.0,0.00033093101926753935,5263.0,0.306130758492322,1.0,7.382798080472499e-05,6.0,0.0008281573498964803,0.0,0.0,22.0,0.000700659256664225,7.0,0.0004916420845624386,1.0,7.96876245119133e-05
1876,9.0,0.00033093101926753935,5279.0,0.30706142391810143,1.0,7.382798080472499e-05,6.0,0.0008281573498964803,0.0,0.0,22.0,0.000700659256664225,85.0,0.005969939598258182,1.0,7.96876245119133e-05
1877,9.0,0.00033093101926753935,5279.0,0.30706142391810143,1.0,7.382798080472499e-05,8.0,0.0011042097998619738,0.0,0.0,22.0,0.000700659256664225,85.0,0.005969939598258182,2.0,0.0001593752490238266
1878,9.0,0.00033093101926753935,5279.0,0.30706142391810143,1.0,7.382798080472499e-05,8.0,0.0011042097998619738,0.0,0.0,22.0,0.000700659256664225,85.0,0.005969939598258182,2.0,0.0001593752490238266
1879,9.0,0.00033093101926753935,5279.0,0.30706142391810143,1.0,7.382798080472499e-05,8.0,0.0011042097998619738,0.0,0.0,23.0,0.0007325074046944171,85.0,0.005969939598258182,29.0,0.0023109411108454855
1880,9.0,0.00033093101926753935,5279.0,0.30706142391810143,1.0,7.382798080472499e-05,8.0,0.0011042097998619738,0.0,0.0,23.0,0.0007325074046944171,85.0,0.005969939598258182,29.0,0.0023109411108454855
1881,15.0,0.0005515516987792322,5898.0,0.3430665425779432,10.0,0.0007382798080472499,13.0,0.0017943409247757074,0.0,0.0,23.0,0.0007325074046944171,85.0,0.005969939598258182,31.0,0.0024703163598693125
1882,15.0,0.0005515516987792322,5898.0,0.3430665425779432,10.0,0.0007382798080472499,13.0,0.0017943409247757074,0.0,0.0,23.0,0.0007325074046944171,85.0,0.005969939598258182,60.0,0.0047812574707147976
1883,15.0,0.0005515516987792322,5898.0,0.3430665425779432,15.0,0.0011074197120708748,20.0,0.0027605244996549345,2.0,5.2939463723232484e-05,44.0,0.00140131851332845,85.0,0.005969939598258182,60.0,0.0047812574707147976
1884,15.0,0.0005515516987792322,5898.0,0.3430665425779432,15.0,0.0011074197120708748,20.0,0.0027605244996549345,2.0,5.2939463723232484e-05,44.0,0.00140131851332845,85.0,0.005969939598258182,60.0,0.0047812574707147976
1885,16.0,0.0005883218120311811,5898.0,0.3430665425779432,15.0,0.0011074197120708748,30.0,0.004140786749482402,2.0,5.2939463723232484e-05,44.0,0.00140131851332845,85.0,0.005969939598258182,60.0,0.0047812574707147976
1886,102.0,0.003750551551698779,5899.0,0.34312470916705445,15.0,0.0011074197120708748,31.0,0.004278812974465148,2.0,5.2939463723232484e-05,44.0,0.00140131851332845,85.0,0.005969939598258182,62.0,0.004940632719738625
1887,102.0,0.003750551551698779,5900.0,0.3431828757561657,15.0,0.0011074197120708748,162.0,0.02236024844720497,2.0,5.2939463723232484e-05,44.0,0.00140131851332845,85.0,0.005969939598258182,66.0,0.005259383217786278
1888,102.0,0.003750551551698779,5900.0,0.3431828757561657,15.0,0.0011074197120708748,163.0,0.022498274672187717,2.0,5.2939463723232484e-05,46.0,0.0014650148093888341,85.0,0.005969939598258182,66.0,0.005259383217786278
1889,336.0,0.012354758052654803,5941.0,0.34556770590972546,16.0,0.0011812476928755998,170.0,0.023464458247066944,2.0,5.2939463723232484e-05,48.0,0.001528711105449218,85.0,0.005969939598258182,79.0,0.006295322336441151
1890,559.0,0.02055449330783939,5987.0,0.34824336900884134,17.0,0.0012550756736803249,182.0,0.025120772946859903,2.0,5.2939463723232484e-05,48.0,0.001528711105449218,85.0,0.005969939598258182,85.0,0.0067734480835126305
1891,561.0,0.020628033534343285,6633.0,0.3858189855746859,254.0,0.01875230712440015,184.0,0.025396825396825397,8.0,0.00021175785489292994,48.0,0.001528711105449218,85.0,0.005969939598258182,145.0,0.011554705554227428
1892,561.0,0.020628033534343285,6643.0,0.38640065146579805,254.0,0.01875230712440015,184.0,0.025396825396825397,8.0,0.00021175785489292994,48.0,0.001528711105449218,86.0,0.006040174181767102,148.0,0.011793768427763168
1893,561.0,0.020628033534343285,6643.0,0.38640065146579805,258.0,0.01904761904761905,185.0,0.025534851621808144,8.0,0.00021175785489292994,48.0,0.001528711105449218,86.0,0.006040174181767102,150.0,0.011953143676786996
1894,561.0,0.020628033534343285,6655.0,0.3870986505351326,258.0,0.01904761904761905,187.0,0.025810904071773638,8.0,0.00021175785489292994,48.0,0.001528711105449218,87.0,0.006110408765276022,151.0,0.012032831301298908
1895,561.0,0.020628033534343285,6889.0,0.40070963238715684,258.0,0.01904761904761905,233.0,0.032160110420979986,8.0,0.00021175785489292994,49.0,0.0015605592534794102,87.0,0.006110408765276022,152.0,0.012112518925810821
1896,579.0,0.021289895572878366,7447.0,0.43316658911121453,290.0,0.021410114433370247,249.0,0.03436853002070393,8.0,0.00021175785489292994,49.0,0.0015605592534794102,87.0,0.006110408765276022,152.0,0.012112518925810821
1897,649.0,0.023863803500514782,7479.0,0.4350279199627734,290.0,0.021410114433370247,250.0,0.03450655624568668,8.0,0.00021175785489292994,49.0,0.0015605592534794102,87.0,0.006110408765276022,152.0,0.012112518925810821
1898,800.0,0.02941609060155905,7613.0,0.4428222429036761,290.0,0.021410114433370247,279.0,0.03850931677018633,8.0,0.00021175785489292994,51.0,0.0016242555495397943,87.0,0.006110408765276022,152.0,0.012112518925810821
1899,863.0,0.03173260773643183,7646.0,0.4447417403443462,291.0,0.02148394241417497,283.0,0.03906142167011732,8.0,0.00021175785489292994,53.0,0.0016879518456001785,87.0,0.006110408765276022,158.0,0.012590644672882302
1900,948.0,0.03485806736284748,7666.0,0.4459050721265705,291.0,0.02148394241417497,283.0,0.03906142167011732,8.0,0.00021175785489292994,56.0,0.0017834962896907545,88.0,0.0061806433487849415,345.0,0.02749223045661009
1901,1033.0,0.037983526989263126,7686.0,0.44706840390879476,291.0,0.02148394241417497,287.0,0.03961352657004831,8.0,0.00021175785489292994,57.0,0.0018153444377209465,89.0,0.006250877932293861,345.0,0.02749223045661009
1902,1167.0,0.04291072216502427,7686.0,0.44706840390879476,298.0,0.022000738279808047,287.0,0.03961352657004831,8.0,0.00021175785489292994,58.0,0.0018471925857511387,89.0,0.006250877932293861,345.0,0.02749223045661009
1903,1246.0,0.04581556111192822,7809.0,0.45422289436947416,298.0,0.022000738279808047,288.0,0.03975155279503106,8.0,0.00021175785489292994,59.0,0.0018790407337813306,89.0,0.006250877932293861,345.0,0.02749223045661009
1904,1700.0,0.06250919252831298,7820.0,0.45486272684969753,772.0,0.05699520118124769,311.0,0.04292615596963423,8.0,0.00021175785489292994,59.0,0.0018790407337813306,89.0,0.006250877932293861,352.0,0.028050043828193483
1905,2058.0,0.07567289307251067,7868.0,0.4576547231270358,772.0,0.05699520118124769,319.0,0.044030365769496205,8.0,0.00021175785489292994,59.0,0.0018790407337813306,90.0,0.006321112515802781,354.0,0.02820941907721731
1906,2192.0,0.0806000882482718,8292.0,0.4823173569101908,846.0,0.06245847176079734,445.0,0.06142167011732229,9.0,0.0002382275867545462,99.0,0.0031529666549890123,90.0,0.006321112515802781,354.0,0.02820941907721731
1907,2488.0,0.09148404177084865,8700.0,0.5060493252675663,873.0,0.06445182724252492,477.0,0.06583850931677018,9.0,0.0002382275867545462,103.0,0.0032803592471097806,94.0,0.006602050849838461,379.0,0.03020160969001514
1908,2802.0,0.10302985733196059,8833.0,0.5137854816193579,902.0,0.06659283868586194,684.0,0.09440993788819876,14.0,0.00037057624606262737,143.0,0.004554285168317462,755.0,0.053027110549234445,382.0,0.03044067256355088
1909,3569.0,0.1312325341962053,8907.0,0.5180898092135877,911.0,0.06725729051310447,786.0,0.10848861283643893,14.0,0.00037057624606262737,253.0,0.008057581451638587,762.0,0.05351875263379688,411.0,0.032751613674396364
1910,6094.0,0.22407707015737607,9167.0,0.5332131223825035,940.0,0.06939830195644149,891.0,0.12298136645962733,14.0,0.00037057624606262737,342.0,0.01089206662632568,768.0,0.0539401601348504,451.0,0.0359391186548729
1911,7283.0,0.2677967348139432,9329.0,0.5426361098185203,955.0,0.07050572166851236,938.0,0.1294685990338164,26.0,0.0006882130284020223,361.0,0.011497181438899329,774.0,0.05436156763590392,452.0,0.036018806279384814
1912,7751.0,0.2850051478158553,9430.0,0.548510935318753,994.0,0.07338501291989664,1232.0,0.17004830917874397,26.0,0.0006882130284020223,366.0,0.011656422179050288,776.0,0.05450203680292176,452.0,0.036018806279384814
1913,8008.0,0.2944550669216061,9518.0,0.5536295951605398,2398.0,0.17703949796973054,1286.0,0.17750172532781228,28.0,0.0007411524921252547,394.0,0.012548170323895665,776.0,0.05450203680292176,454.0,0.03617818152840864
1914,9058.0,0.33306368583615237,9607.0,0.5588064215914379,2695.0,0.19896640826873385,1664.0,0.22967563837129054,28.0,0.0007411524921252547,397.0,0.012643714767986241,781.0,0.05485320972046636,463.0,0.03689537014901586
1915,10901.0,0.40083100455949405,9821.0,0.5712540716612378,2711.0,0.20014765596160944,1700.0,0.23464458247066944,30.0,0.0007940919558484873,403.0,0.012834803656167394,810.0,0.056890012642225034,473.0,0.037692246394134994
1916,11520.0,0.4235917046624504,9918.0,0.5768962308050256,2745.0,0.2026578073089701,1832.0,0.252864044168392,32.0,0.0008470314195717197,410.0,0.013057740692378738,814.0,0.05717095097626071,473.0,0.037692246394134994
1917,13461.0,0.49496249448448304,11498.0,0.6687994416007446,3091.0,0.22820228866740494,3518.0,0.48557625948930294,34.0,0.0008999708832949522,421.0,0.013408070320710851,827.0,0.05808400056187667,488.0,0.03888756076181369
1918,13500.0,0.49639652890130903,11556.0,0.6721731037691949,3097.0,0.2286452565522333,3542.0,0.4888888888888889,38.0,0.0010058498107414172,423.0,0.013471766616771234,831.0,0.05836493889591235,491.0,0.03912662363534943
1919,13708.0,0.5040447124577143,11723.0,0.6818869241507678,3258.0,0.24053156146179402,3543.0,0.48902691511387164,38.0,0.0010058498107414172,432.0,0.013758399949042963,834.0,0.05857564264643911,497.0,0.03960474938242091
1920,14968.0,0.5503750551551698,11831.0,0.688168915774779,3528.0,0.26046511627906976,3575.0,0.49344375431331955,39.0,0.0010323195426030333,443.0,0.014108729577375075,840.0,0.058997050147492625,498.0,0.039684437006932825
